System Time,RDTSC,Elapsed Time (sec),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,Package Power Limit_0(Watt),GT Frequency(MHz)
01:51:22:328,125879464050,0.191284,  800,   7.682,   0.801,   0.222,   3.209,   0.334,   0.093, 58,0,47,  200
01:51:22:423,126116377443,0.286269, 2500,   2.621,   1.049,   0.292,   0.575,   0.389,   0.108, 57,0,47,  200
01:51:22:523,126367016853,0.386757, 2500,   4.707,   1.522,   0.423,   1.390,   0.529,   0.147, 57,0,47,  200
01:51:22:625,126620902264,0.488546, 2600,   6.601,   2.194,   0.610,   2.348,   0.768,   0.213, 59,0,47,  200
01:51:22:723,126865906717,0.586775, 2500,   6.767,   2.859,   0.794,   2.426,   1.006,   0.279, 58,0,47,  200
01:51:22:824,127116782400,0.687357,  800,   5.069,   3.369,   0.936,   1.389,   1.146,   0.318, 57,0,47,  200
01:51:22:923,127365461231,0.787059, 2500,   3.829,   3.751,   1.042,   1.024,   1.248,   0.347, 57,0,47,  200
01:51:23:023,127615012824,0.887111, 2500,   5.143,   4.265,   1.185,   1.692,   1.417,   0.394, 58,0,47,  200
01:51:23:128,127875035125,0.991361,  800,   5.537,   4.843,   1.345,   1.711,   1.595,   0.443, 58,0,47,  250
01:51:23:223,128113690075,1.087044, 2500,   6.164,   5.432,   1.509,   1.914,   1.779,   0.494, 58,0,47,  200
01:51:23:323,128362525135,1.186808, 2500,   7.674,   6.198,   1.722,   1.905,   1.969,   0.547, 57,0,47,  300
01:51:23:424,128614993062,1.288029, 2500,   8.213,   7.029,   1.953,   1.870,   2.158,   0.599, 59,0,47,  400
01:51:23:523,128861533911,1.386874, 2500,  10.360,   8.053,   2.237,   2.734,   2.428,   0.674, 58,0,47,  550
01:51:23:627,129119593500,1.490337, 2700,   9.656,   9.052,   2.515,   2.240,   2.660,   0.739, 58,0,47,  550
01:51:23:723,129360371537,1.586871, 2500,  11.765,  10.188,   2.830,   3.071,   2.956,   0.821, 58,0,47,  700
01:51:23:823,129609954413,1.686935, 2500,  10.422,  11.231,   3.120,   2.292,   3.186,   0.885, 58,0,47,  700
01:51:23:927,129869088835,1.790829, 2500,   1.934,  11.432,   3.176,   0.229,   3.209,   0.891, 58,0,47,  700
01:51:24:023,130108408951,1.886779, 2500,   6.465,  12.052,   3.348,   2.177,   3.418,   0.950, 58,0,47,  700
