System Time,RDTSC,Elapsed Time (sec),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,Package Power Limit_0(Watt),GT Frequency(MHz)
02:39:46:885,90247466488,0.161345, 2500,   8.960,   0.886,   0.246,   3.433,   0.340,   0.094, 58,0,47,  550
02:39:46:985,90495885075,0.260942,  800,   1.421,   1.028,   0.285,   0.063,   0.346,   0.096, 57,0,47,  550
02:39:47:087,90749717913,0.362710,  800,   1.547,   1.185,   0.329,   0.100,   0.356,   0.099, 57,0,47,  550
02:39:47:184,90993345757,0.460387, 1600,   1.375,   1.319,   0.367,   0.094,   0.365,   0.101, 58,0,47,  550
02:39:47:285,91244001413,0.560882, 1600,   2.862,   1.607,   0.446,   0.523,   0.418,   0.116, 58,0,47,  550
02:39:47:385,91493397825,0.660871,  800,   7.072,   2.314,   0.643,   2.752,   0.693,   0.193, 59,0,47,  550
02:39:47:487,91748437511,0.763123, 3000,   5.225,   2.849,   0.791,   1.960,   0.893,   0.248, 58,0,47,  550
02:39:47:587,91997543835,0.862996, 2500,   6.466,   3.494,   0.971,   2.249,   1.118,   0.311, 59,0,47,  550
02:39:47:689,92252881663,0.965368,  800,   1.635,   3.662,   1.017,   0.197,   1.138,   0.316, 57,0,47,  550
02:39:47:789,92502269838,1.065354,  800,   1.113,   3.773,   1.048,   0.021,   1.140,   0.317, 57,0,47,  550
02:39:47:885,92741159779,1.161131, 2500,   4.173,   4.173,   1.159,   1.058,   1.242,   0.345, 58,0,47,  550
02:39:47:985,92990483254,1.261091, 2500,   5.312,   4.704,   1.307,   1.702,   1.412,   0.392, 59,0,47,  550
02:39:48:085,93239962752,1.361114, 2500,   5.846,   5.288,   1.469,   2.034,   1.615,   0.449, 58,0,47,  550
02:39:48:188,93496603733,1.464008, 2700,   9.044,   6.219,   1.728,   3.857,   2.012,   0.559, 59,0,47,  550
02:39:48:289,93749381438,1.565353,  800,   7.519,   6.981,   1.939,   2.819,   2.298,   0.638, 58,0,47,  550
02:39:48:389,93997451213,1.664811, 3000,   6.461,   7.624,   2.118,   2.520,   2.549,   0.708, 58,0,47,  550
02:39:48:485,94237538310,1.761068, 2900,  11.154,   8.697,   2.416,   5.045,   3.034,   0.843, 59,0,47,  550
02:39:48:585,94487830282,1.861417, 1600,   8.948,   9.595,   2.665,   3.898,   3.425,   0.952, 59,0,47,  550
02:39:48:685,94736367317,1.961062, 2900,   5.806,  10.174,   2.826,   2.143,   3.639,   1.011, 59,0,47,  550
02:39:48:785,94985779138,2.061057, 2900,  10.668,  11.240,   3.122,   4.381,   4.077,   1.133, 58,0,47,  550
02:39:48:889,95245943113,2.165364,  800,   3.812,  11.638,   3.233,   1.037,   4.185,   1.163, 58,0,47,  550
02:39:48:989,95495364213,2.265363,  800,   1.187,  11.757,   3.266,   0.002,   4.185,   1.163, 57,0,47,  550
02:39:49:089,95744775375,2.365359,  800,   1.668,  11.923,   3.312,   0.096,   4.195,   1.165, 56,0,47,  550
02:39:49:184,95981658301,2.460331, 2700,   7.683,  12.653,   3.515,   3.121,   4.491,   1.248, 59,0,47,  550
02:39:49:285,96234172735,2.561571, 2500,   6.070,  13.268,   3.685,   1.953,   4.689,   1.303, 57,0,47,  550
02:39:49:389,96493118175,2.665389,  800,   1.369,  13.410,   3.725,   0.033,   4.693,   1.303, 57,0,47,  550
02:39:49:485,96732435775,2.761337,  800,   1.109,  13.516,   3.754,   0.030,   4.695,   1.304, 56,0,47,  550
02:39:49:589,96991893588,2.865361,  800,   2.776,  13.805,   3.835,   0.371,   4.734,   1.315, 57,0,47,  550
02:39:49:687,97236371100,2.963378,  800,   1.315,  13.934,   3.871,   0.110,   4.745,   1.318, 58,0,47,  550
02:39:49:789,97489144850,3.064722, 1600,   1.277,  14.063,   3.906,   0.051,   4.750,   1.319, 56,0,47,  550
