System Time,RDTSC,Elapsed Time (sec),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,Package Power Limit_0(Watt),GT Frequency(MHz)
01:56:28:324,889104055484,0.110288, 2500,   4.412,   0.449,   0.125,   1.462,   0.149,   0.041, 54,0,47,  200
01:56:28:425,889355963971,0.211285, 2500,   8.230,   1.281,   0.356,   2.826,   0.434,   0.121, 54,0,47,  250
01:56:28:523,889600380723,0.309278, 2500,   3.121,   1.586,   0.441,   0.539,   0.487,   0.135, 53,0,47,  250
01:56:28:625,889853605488,0.410802,  800,   2.754,   1.866,   0.518,   0.488,   0.537,   0.149, 53,0,47,  200
01:56:28:725,890104262748,0.511297, 2500,  11.834,   3.055,   0.849,   6.516,   1.192,   0.331, 55,0,47,  200
01:56:28:823,890348609007,0.609262, 3000,  11.263,   4.159,   1.155,   5.246,   1.705,   0.474, 56,0,47,  200
01:56:28:926,890605662813,0.712321,  800,   3.764,   4.546,   1.263,   0.974,   1.806,   0.502, 54,0,47,  200
01:56:29:023,890846596627,0.808918, 2500,   2.186,   4.758,   1.322,   0.359,   1.841,   0.511, 53,0,47,  200
01:56:29:127,891106478601,0.913112, 2500,   6.335,   5.418,   1.505,   2.059,   2.055,   0.571, 54,0,47,  200
01:56:29:227,891354923075,1.012719,  800,   1.874,   5.604,   1.557,   0.274,   2.082,   0.578, 52,0,47,  200
01:56:29:325,891598543743,1.110394, 2500,   4.628,   6.056,   1.682,   1.548,   2.234,   0.620, 53,0,47,  200
01:56:29:425,891850182139,1.211282, 2500,   6.032,   6.665,   1.851,   1.926,   2.428,   0.674, 54,0,47,  200
01:56:29:523,892093289679,1.308750, 2500,   6.218,   7.271,   2.020,   1.991,   2.622,   0.728, 55,0,47,  200
01:56:29:623,892342414219,1.408631, 2500,   6.752,   7.945,   2.207,   2.339,   2.856,   0.793, 54,0,47,  200
01:56:29:728,892604078525,1.513539,  800,   2.414,   8.199,   2.277,   0.538,   2.912,   0.809, 54,0,47,  200
01:56:29:823,892842869847,1.609277, 2500,   5.775,   8.752,   2.431,   1.837,   3.088,   0.858, 53,0,47,  200
01:56:29:923,893092317368,1.709287, 2500,   6.789,   9.431,   2.620,   2.343,   3.322,   0.923, 54,0,47,  200
01:56:30:024,893342185563,1.809465,  800,   1.528,   9.584,   2.662,   0.193,   3.341,   0.928, 53,0,47,  200
01:56:30:123,893591083623,1.909255, 2500,   6.452,  10.227,   2.841,   1.817,   3.523,   0.979, 54,0,47,  250
01:56:30:223,893840534533,2.009266, 2500,   4.662,  10.694,   2.970,   1.081,   3.631,   1.009, 53,0,47,  200
01:56:30:325,894094995797,2.111287, 2500,   2.224,  10.921,   3.034,   0.331,   3.665,   1.018, 53,0,47,  200
01:56:30:423,894339365723,2.209261, 2500,   3.452,  11.259,   3.127,   0.883,   3.751,   1.042, 54,0,47,  200
01:56:30:525,894593890388,2.311306,  800,   3.301,  11.596,   3.221,   0.776,   3.830,   1.064, 53,0,47,  200
01:56:30:623,894838208169,2.409260, 2500,   1.930,  11.785,   3.274,   0.232,   3.853,   1.070, 52,0,47,  200
01:56:30:723,895087187797,2.509082, 3200,  12.546,  13.037,   3.621,   5.816,   4.434,   1.232, 56,0,47,  250
01:56:30:823,895337024022,2.609248, 2800,  11.339,  14.173,   3.937,   5.122,   4.947,   1.374, 55,0,47,  200
01:56:30:923,895585823097,2.708998, 2500,   9.897,  15.160,   4.211,   4.150,   5.361,   1.489, 55,0,47,  200
01:56:31:024,895837560049,2.809926, 2500,   5.902,  15.756,   4.377,   2.109,   5.573,   1.548, 54,0,47,  200
01:56:31:124,896085933469,2.909506, 3000,  13.169,  17.067,   4.741,   6.680,   6.239,   1.733, 58,0,47,  200
01:56:31:228,896345207450,3.013455,  800,   7.128,  17.808,   4.947,   2.794,   6.529,   1.814, 55,0,47,  200
01:56:31:323,896584211099,3.109278, 2500,   3.406,  18.134,   5.037,   0.873,   6.613,   1.837, 55,0,47,  200
01:56:31:423,896833570663,3.209253, 2500,   3.817,  18.516,   5.143,   0.815,   6.694,   1.859, 55,0,47,  200
01:56:31:523,897083080895,3.309288, 2500,   1.955,  18.712,   5.198,   0.206,   6.715,   1.865, 54,0,47,  200
01:56:31:627,897342012127,3.413101, 2500,   3.927,  19.119,   5.311,   0.856,   6.804,   1.890, 54,0,47,  200
01:56:31:728,897592517863,3.513535,  800,   2.160,  19.336,   5.371,   0.403,   6.844,   1.901, 54,0,47,  200
01:56:31:827,897839885441,3.612711, 3000,   3.089,  19.643,   5.456,   1.056,   6.949,   1.930, 54,0,47,  200
01:56:31:928,898091370213,3.713538,  800,   1.283,  19.772,   5.492,   0.074,   6.956,   1.932, 52,0,47,  200
01:56:32:023,898328380986,3.808562, 2700,  17.332,  21.419,   5.950,  11.405,   8.040,   2.233, 58,0,47,  200
01:56:32:127,898588149823,3.912710, 3000,  17.713,  23.264,   6.462,  10.454,   9.129,   2.536, 58,0,47,  200
01:56:32:224,898830225631,4.009764, 2500,  10.825,  24.314,   6.754,   4.810,   9.596,   2.665, 56,0,47,  250
01:56:32:325,899083333713,4.111242, 2500,  14.221,  25.758,   7.155,   6.487,  10.254,   2.848, 55,0,47,  350
01:56:32:423,899328004038,4.209336,  800,  10.627,  26.800,   7.444,   4.123,  10.658,   2.961, 55,0,47,  350
01:56:32:523,899576694299,4.309043, 2500,   4.047,  27.203,   7.557,   0.979,  10.756,   2.988, 55,0,47,  350
01:56:32:623,899826706407,4.409280, 2500,   3.873,  27.592,   7.664,   1.060,  10.862,   3.017, 54,0,47,  300
